sigel,archivname
"Darm6e10","Zentralarchiv der Evangelischen Kirche in Hessen und Nassau"
"Dede8e10","Evangelisch-Lutherisches Kirchengemeindearchiv Dedesdorf"
"Degg5ba0","Stadtarchiv Deggendorf"
"Deid5rp0","Stadtarchiv Deidesheim"
"Dess7e10","Archiv der Evangelischen Landeskirche Anhalts"
"Detm3nw0","Nordrhein-Westfälisches Staatsarchiv Detmold"
"Detm7e10","Archiv der Lippischen Landeskirche"
"Ding5ba0","Stadtarchiv Dingolfing"
"Dink5ba0","Stadtarchiv Dinkelsbühl"
"Dins5nw0","Stadtarchiv Dinslaken"
"Dona5ba0","Stadtarchiv Donauwörth"
"Dort5nw0","Stadtarchiv Dortmund"
"Dres2sn0","Sächsisches Hauptstaatsarchiv Dresden"
"Dres5sn0","Stadtarchiv Dresden"
"Dres7e10","Landeskirchenarchiv der Evangelisch-Lutherischen Landeskirche Sachsens"
"Drho8e10","Archiv der Ev.-Luth. Kirchgemeinde Dresden-Hosterwitz, Maria am Wasser"
"Drzs8e10","Archiv der Ev.-Luth. Kirchgemeinde Dresden-Zschachwitz, Stephanuskirche"
"Duer4nw0","Stadt- und Kreisarchiv Düren"
"Dues2nw0","Nordrhein-Westfälisches Hauptstaatsarchiv Düsseldorf"
"Dues5nw0","Stadtarchiv Düsseldorf"
"Dues7e10","Archiv der Evangelischen Kirche im Rheinland"
"Duis5nw0","Stadtarchiv Duisburg"
"Eber4bb0","Kreis- und Stadtarchiv o[Eberswalde]o"
"Eber5bw0","Stadtarchiv Eberbach"
"Egge5ba0","Stadtarchiv Eggenfelden"
"Egge8e10","Pfarrarchiv Eggersdorf im Kirchspiel Biere-Eggersdorf"
"Eile5sn0","Stadtarchiv Eilenburg"
"Einb5ns0","Stadtarchiv Einbeck"
"Eise5th0","Stadtarchiv Eisenach"
"Eise7e10","Archiv der Evangelisch-Lutherischen Kirche in Thüringen"
"Eisl5sa0","Stadtarchiv Eisleben"
"Else8e10","Pfarrarchiv Elsey bei Hohenlimburg"
"Emme5nw0","Stadtarchiv Emmerich"
"Erba8e10","Pfarrarchiv Erbach/Odw."
"Erfu5th0","Stadtarchiv Erfurt"
"Erfu7k10","Bistumsarchiv Erfurt"
"Erla5ba0","Stadtarchiv Erlangen"
"Erms8e10","Pfarrarchiv Ermsleben, St. Andreas in der Kirchengemeinde Ermsleben, St. Sixtus"
"Esse5nw0","Stadtarchiv Essen"
"Essl4bw0","Kreisarchiv Esslingen"
"Essl5bw0","Stadtarchiv Esslingen"
"Ettl5bw0","Stadtarchiv Ettlingen"
"Euti8e10","Kirchenbuchamt Eutin "
"Exte8e10","Pfarrarchiv Exter"
"Fern8e10","Pfarrarchiv Ferndorf"
"Fild5bw0","Stadtarchiv Filderstadt"
"Flen5sh0","Stadtarchiv Flensburg"
"Fors4bb0","Spree-Neiße-Kreis Kreisarchiv Dienststelle Forst (Lausitz)"
"Fran5bb0","Stadtarchiv Frankfurt (Oder)"
"Fran8e10","Pfarrarchiv Frankleben"
"Frau8e10","Archiv der Ev.-Luth. Kirchgemeinde Frauenhain"
"Frei3bw0","Staatsarchiv Freiburg"
"Frei4sn0","Kreisarchiv Freital"
"Frei5ba0","Stadtarchiv Freising"
"Frei5bb0","Stadtarchiv Bad Freienwalde"
"Frei5bw0","Stadtarchiv Freiburg im Breisgau"
"Frei5sn0","Stadtarchiv Freiberg"
"Frei7k10","Erzbischöfliches Archiv Freiburg "
"Freu8e10","Pfarrarchiv Freudenberg"
"Frey8e10","Pfarrarchiv Freyburg/Unstrut"
"Froh8e10","Pfarrarchiv Frohndorf im Kirchspiel Sömmerda, St. Bonifatius III"
"Fuer5ba0","Stadtarchiv Fürstenfeldbruck"
"Fues5ba0","Stadtarchiv Füssen"
"Fuet5ba0","Stadtarchiv Fürth"
"Fuld5he0","Stadtarchiv Fulda"
"Fuld7k10","Bistumsarchiv Fulda"
"Gagg5bw0","Stadtarchiv Gaggenau"
"Gaue8e10","Archiv der Ev.-Luth. Kirchgemeinde Gauernitz-Constappel, St. Nikolai"
"Geho8e10","Pfarrarchiv Gehofen im Kirchspiel Roßleben-Wiehe"
"Gent5sa0","Stadtarchiv o[Genthin]o"
"Gera5th0","Stadtarchiv Gera"
"Geve8e10","Pfarrarchiv Gevelsberg"
"Gien5bw0","Stadtarchiv Giengen"
"Glau4sn0","Kreisarchiv Chemnitzer Land, Dienststelle Glauchau"
"Glau8e10","Archiv der Ev.-Luth. Kirchgemeinde Glaubitz mit TK Zschaiten"
"Glei8k10","Archiv der katholischen Kirchengemeinde Gleisweiler"
"Godd8e10","Pfarrarchiv Goddelau"
"Goep5bw0","Stadtarchiv Göppingen"
"Goer5sn0","Stadtarchiv Görlitz"
"Goer7e10","Archiv der Evangelischen Kirche der Schlesischen Oberlausitz"
"Goth3th0","Thüringisches Staatsarchiv Gotha"
"Grae8e10","Pfarrarchiv Gräfenhausen"
"Grei3mv0","Vorpommersches Landesarchiv Greifswald"
"Grei3th0","Thüringisches Staatsarchiv Greiz"
"Grei5mv0","Stadtarchiv Greifswald"
"Grei7e10","Landeskirchliches Archiv Greifswald"
"Grie8e10","Pfarrarchiv Griefstedt im Kirchspiel Weißensee"
"Grim5sn0","Stadtarchiv Grimma"
"Groe8e10","Archiv der Ev.-Luth. Kirchgemeinde Gröbern/Großdobritz"
"Grom8e10","Pfarrarchiv Großmonra"
"Gron8e10","Pfarrarchiv Gronau"
