sigel,archivname
"Sonn5th0","Stadtarchiv Sonneberg"
"Spai5bw0","Stadtarchiv Spaichingen im Kreisarchiv Tuttlingen"
"Spey3rp0","Landesarchiv Speyer"
"Spey5rp0","Stadtarchiv Speyer"
"Spey7e10","Zentralarchiv der Evangelischen Kirche der Pfalz (Protestantische Landeskirche) in Speyer"
"Spey7k10","Bistumsarchiv Speyer"
"Stad3ns0","Niedersächsisches Staatsarchiv Stade"
"Stad5ns0","Stadtarchiv Stade"
"Sten8e10","Pfarrarchiv Stendal, St. Marien"
"Stol4sn0","Kreisarchiv Stollberg (Erzgeb.)"
"Stra5ba0","Stadtarchiv Straubing"
"Stra5mv0","Stadtarchiv Stralsund"
"Stre8e10","Archiv der Ev.-Luth. Vereinigten Kirchgemeinde Streumen"
"Stum8e10","Pfarrarchiv Stumsdorf"
"Stut2bw0","Hauptstaatsarchiv Stuttgart"
"Stut5bw0","Stadtarchiv Stuttgart"
"Stut7e10","Landeskirchliches Archiv Stuttgart"
"Stwe5sl0","Stadtarchiv St. Wendel"
"Suhl5th0","Stadtarchiv Suhl"
"Sulz5ba0","Stadtarchiv Sulzbach-Rosenberg"
"Swab5ba0","Stadtarchiv Schwabach"
"Swan5ba0","Stadtarchiv Schwandorf"
"Swei5ba0","Stadtarchiv Schweinfurt"
"Tang5sa0","Stadtarchiv Tangermünde"
"Teck8e10","Pfarrarchiv Tecklenburg"
"Tete4mv0","Kulturstiftung o[Teterower Kreis]o; Kommunalarchiv"
"Tett5bw0","Stadtarchiv Tettnang"
"Torg5sn0","Stadtarchiv Torgau"
"Trau5ba0","Stadtarchiv Traunstein"
"Tref8e10","Pfarrarchiv Treffurt"
"Trie5rp0","Stadtarchiv Trier"
"Trie7k10","Bistumsarchiv Trier"
"Tros5bw0","Stadtarchiv Trossingen"
"Tueb5bw0","Stadtarchiv Tübingen"
"Tutt4bw0","Kreisarchiv Tuttlingen"
"Uebe5bw0","Stadtarchiv Überlingen"
"Uelz5ns0","Stadtarchiv Uelzen"
"Ulmx5bw0","Stadtarchiv Ulm"
"Vaih5bw0","Stadtarchiv Vaihingen"
"Vech7k10","Bischöflich Münstersches Offizialat"
"Vill5bw0","Stadtarchiv Villingen-Schwenningen"
"Vill8k10","Pfarrarchiv Villmar, St. Peter und Paul"
"Vlot8e10","Pfarrarchiv Vlotho, St. Stephani"
"Volk8e10","Pfarrarchiv Volkartshain"
"Wald5bw0","Stadtarchiv Waldshut-Tiengen"
"Wald5sn0","Stadtarchiv Waldheim"
"Wang5bw0","Stadtarchiv Wangen"
"Ware8e10","Evangelisch-Lutherische Pfarre St. Georgen zu Waren"
"Watt8e10","Pfarrarchiv Wattenscheid"
"Weid5ba0","Stadtarchiv Weiden"
"Weil5ba0","Stadtarchiv Weilheim"
"Weil5bw0","Stadtarchiv Weilheim im Kreisarchiv Esslingen"
"Weim2th0","Thüringisches Hauptstaatsarchiv Weimar"
"Weim5th0","Stadtarchiv Weimar"
"Wein5bw0","Stadtarchiv Weinheim"
"Wein8e10","Archiv der Ev.-Luth. Kirchgemeinde Weinböhla"
"Weis5ba0","Stadtarchiv Weißenburg"
"Weis5sa0","Stadtarchiv Weißenfels"
"Weis8e10","Archiv der Ev.-Luth. Kirchgemeinde Weistropp mit Schwesterkirche Unkersdorf"
"Welv8e10","Pfarrarchiv Welver"
"Wend8e10","Archiv der Ev.-Luth. Kirchgemeinde Wendischbora"
"Werl5nw0","Stadtarchiv Werl"
"Wern5sa0","Stadtarchiv o[Wernigerode]o"
"Wert3bw0","Staatsarchiv Wertheim, Archivverbund Main-Tauber"
"Wese5nw0","Stadtarchiv Wesel"
"Wgar5bw0","Stadtarchiv Weingarten"
"Wies2he0","Hessisches Hauptstaatsarchiv Wiesbaden"
"Wism5mv0","Stadtarchiv Wismar"
"Witt5sa0","Stadtarchiv Wittenberg"
"Witt8e10","Pfarrarchiv Wittenberg, St. Marien I"
"Wolf3ns0","Niedersächsisches Staatsarchiv Wolfenbüttel"
"Wolf5bw0","Stadtarchiv Wolfach"
"Worm5rp0","Stadtarchiv Worms"
"Worm8e10","Pfarrarchiv Worms II"
"Worm8e20","Pfarrarchiv Worms V"
"Wuer3ba0","Staatsarchiv Würzburg"
"Wuer5ba0","Stadtarchiv Würzburg"
"Wuer7k10","Diözesan-Archiv Würzburg"
"Wuns5ba0","Stadtarchiv Wunsiedel"
"Wupp5nw0","Stadtarchiv Wuppertal"
"Zabe8e10","Archiv der Ev.-Luth. Kirchgemeinde Zabeltitz mit TK Görzing, St. Georgenkirche"
"Zeit5sa0","Zentrales Stadt- und Kreisarchiv Zeitz"
"Zeit8e10","Pfarrarchiv Zeitz, St. Michael"
"Zete8e10","Evangelisch-Lutherisches Kirchengemeindearchiv Zetel"
"Zeul5th0","Stadtarchiv Zeulenroda"
"Zitt5sn0","Stadtarchiv Zittau"
"Zoer8e10","Pfarrarchiv Zörbig, St. Mauritius"
"Zwei8k10","Archiv der katholischen Kirchengemeinde Zweibrücken, Hl. Kreuz"
"Zwic5sn0","Stadtarchiv Zwickau"
